State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Nagaland,Others,176577,1440387,0.12258997061206467
Nagaland,Realme,83132,1440387,0.05771504463730928
Nagaland,Samsung,198599,1440387,0.13787891726320772
Nagaland,Vivo,235656,1440387,0.16360603087920123
Nagaland,Xiaomi,440693,1440387,0.3059545802621101
Odisha,Apple,24617,80404103,0.0003061659676745601
Odisha,Huawei,1289457,80404103,0.01603720397204108
Odisha,Lenovo,1703386,80404103,0.02118531189882188
Odisha,Micromax,1402116,80404103,0.01743836381086174
Odisha,Motorola,1999152,80404103,0.024863805768718047
Odisha,OnePlus,943511,80404103,0.011734612598066047
Odisha,Oppo,10245153,80404103,0.1274207735393802
Odisha,Others,7622287,80404103,0.09479972682488604
Odisha,Realme,5790275,80404103,0.07201467069410625
Odisha,Samsung,14231004,80404103,0.17699350492101132
Odisha,Vivo,12217238,80404103,0.15194794225861832
Odisha,Xiaomi,22935907,80404103,0.28525791774581455
Puducherry,Apple,103668,2785162,0.03722153325372097
Puducherry,Huawei,110817,2785162,0.03978834983386963
Puducherry,Lenovo,67729,2785162,0.024317795517819072
Puducherry,Motorola,87918,2785162,0.0315665659663603
Puducherry,OnePlus,88626,2785162,0.03182077021013499
Puducherry,Oppo,277523,2785162,0.09964339596763133
Puducherry,Others,243127,2785162,0.08729366550311975
Puducherry,Realme,123613,2785162,0.04438269659000087
Puducherry,Samsung,547121,2785162,0.1964413560144796
Puducherry,Vivo,497381,2785162,0.17858243075268154
Puducherry,Xiaomi,637639,2785162,0.22894144039018197
Punjab,Apple,3252261,45811761,0.07099183548084956
Punjab,HMD Global,32870,45811761,0.0007175013420680336
Punjab,Huawei,473592,45811761,0.010337782038110256
Punjab,Lenovo,262530,45811761,0.005730624500551289
Punjab,Micromax,24958,45811761,0.0005447945997972005
Punjab,Motorola,499718,45811761,0.010908072274279087
Punjab,OnePlus,575900,45811761,0.012571007693853987
Punjab,Oppo,6323999,45811761,0.13804313263574391
Punjab,Others,3122372,45811761,0.06815655918575145
Punjab,Realme,1627653,45811761,0.035529151564376665
Punjab,Samsung,10354929,45811761,0.2260321099640767
Punjab,Tecno,80436,45811761,0.0017557936705380089
Punjab,Vivo,8116183,45811761,0.17716374186096012
Punjab,Xiaomi,11064360,45811761,0.24151789318904374
Rajasthan,Apple,3304317,149770064,0.022062599906480643
Rajasthan,Gionee,1808930,149770064,0.012078047853408143
Rajasthan,Huawei,2513087,149770064,0.016779634947608757
Rajasthan,Lenovo,142992,149770064,0.000954743532726273
Rajasthan,Motorola,1223807,149770064,0.00817123908019429
Rajasthan,OnePlus,2138123,149770064,0.01427603716587849
Rajasthan,Oppo,19473283,149770064,0.13002119702639642
Rajasthan,Others,14174713,149770064,0.09464316580648587
Rajasthan,Realme,7731556,149770064,0.051622839661736405
Rajasthan,Samsung,29912324,149770064,0.199721647978998
Rajasthan,Tecno,1335085,149770064,0.008914231351333334
Rajasthan,Vivo,32244348,149770064,0.21529234306797118
Rajasthan,Xiaomi,33767499,149770064,0.22546227262078222
Sikkim,Apple,41453,1279199,0.032405434963598316
Sikkim,Asus,308,1279199,0.00024077567290155792
Sikkim,HMD Global,11440,1279199,0.008943096422057865
