Density,Transactions
1258.0,838277
567.0,394536
1206.0,317868
1004.0,927801
1115.0,446511
898.0,366857
815.0,261395
1116.0,480526
1279.0,1264352
958.0,386821
1506.0,2083611
1220.0,1053570
889.0,529218
1803.0,15560992
1014.0,893061
763.0,989497
1125.0,592496
1465.0,1233758
1493.0,1173182
922.0,130669
1882.0,138460
1491.0,785267
1495.0,1271446
919.0,548881
1717.0,1177251
992.0,858907
1098.0,268085
760.0,1130661
672.0,458109
1540.0,1013896
1180.0,1561760
1136.0,954643
1003.0,528766
1721.0,1660540
880.0,1972685
1258.0,1167013
567.0,616481
1206.0,429941
1004.0,1255101
1115.0,576287
898.0,526568
815.0,363770
1116.0,694489
1279.0,1777506
958.0,522173
1506.0,2572251
1220.0,1236612
889.0,830738
1803.0,13807801
1014.0,1220645
763.0,1317112
1125.0,823372
1465.0,1536299
1493.0,1590231
922.0,190302
1882.0,205238
1491.0,1089786
1495.0,1496472
919.0,782514
1717.0,1501134
992.0,1042498
1098.0,340974
760.0,1435440
672.0,535276
1540.0,1317210
1180.0,2291210
1136.0,1209097
1003.0,656065
1721.0,2323627
880.0,2533169
1258.0,1415473
567.0,734016
1206.0,550190
1004.0,1523754
1115.0,714776
898.0,636842
815.0,450566
1116.0,840190
1279.0,2378853
958.0,679643
1506.0,3476178
1220.0,1624864
889.0,1000893
1803.0,20716631
1014.0,1716768
763.0,1626703
1125.0,972500
1465.0,1964342
1493.0,2089459
922.0,241583
1882.0,259484
1491.0,1409661
1495.0,1927410
919.0,923545
1717.0,2036376
992.0,1536430
1098.0,458804
760.0,2000839
672.0,715298
1540.0,1917729
1180.0,2991335
1136.0,1763580
1003.0,963324
1721.0,3297598
880.0,3671183
1258.0,2155078
567.0,1013521
1206.0,767929
1004.0,2214215
1115.0,1056610
898.0,891347
815.0,631414
1116.0,1155495
1279.0,3371688
958.0,985968
1506.0,4970912
1220.0,2255217
889.0,1338381
1803.0,24443301
1014.0,2416041
763.0,2274947
1125.0,1364666
1465.0,2867496
1493.0,3186771
922.0,313125
1882.0,340485
1491.0,1921037
1495.0,2923089
919.0,1248616
1717.0,2855999
992.0,1645629
1098.0,430486
760.0,1991766
672.0,678449
1540.0,1977439
1180.0,3729907
1136.0,1622637
1003.0,879471
1721.0,3456999
880.0,3790466
1258.0,2101332
567.0,1038356
1206.0,723928
1004.0,2323955
1115.0,1072001
898.0,956184
815.0,613756
1116.0,1236738
1279.0,3251471
958.0,960092
1506.0,5221017
1220.0,2268463
889.0,1343218
1803.0,41272981
1014.0,2732403
763.0,2216469
1125.0,1467040
1465.0,2833659
1493.0,3020459
922.0,300298
1882.0,337930
1491.0,1895158
1495.0,2823522
919.0,1362458
1717.0,2763964
992.0,2293469
1098.0,605677
760.0,2708735
672.0,999688
1540.0,2745981
1180.0,5068435
1136.0,2211960
1003.0,1252195
1721.0,4739297
880.0,4732185
1258.0,3111515
567.0,1521567
1206.0,995035
1004.0,3117723
1115.0,1469798
898.0,1256800
815.0,840880
1116.0,1684296
1279.0,4695466
958.0,1320520
1506.0,6872504
1220.0,2876066
889.0,1911948
1803.0,53400850
1014.0,3753134
763.0,3001706
1125.0,1904150
1465.0,4015424
1493.0,4392087
922.0,427755
1882.0,516755
1491.0,2697354
1495.0,4705097
919.0,1834979
1717.0,3799946
9258.0,381895
9258.0,479084
9258.0,616936
9258.0,905116
9258.0,1274476
9258.0,1252470
9258.0,1506543
9258.0,1850915
9258.0,2262511
9258.0,1528010
9258.0,2158086
9258.0,2912716
9258.0,3970237
9258.0,4417547
234.0,36121
275.0,61987
190.0,29546
210.0,38895
270.0,41406
35.0,5863
460.0,158509
59.0,8452
394.0,40907
770.0,226774
146.0,41174
195.0,32615
115.0,29788
74.0,22249
183.0,93345
216.0,64238
255.0,19819
20.0,2998
211.0,133135
750.0,323570
191.0,73040
42.0,3825
280.0,35573
150.0,68251
234.0,51273
275.0,92920
190.0,45309
210.0,57153
