State,Period,Transaction Type,Transactions
Madhya Pradesh,2019-Q3,Peer-to-peer payments,22631038
Madhya Pradesh,2019-Q4,Peer-to-peer payments,32083162
Madhya Pradesh,2020-Q1,Peer-to-peer payments,34540722
Madhya Pradesh,2020-Q2,Peer-to-peer payments,34860958
Madhya Pradesh,2020-Q3,Peer-to-peer payments,50871564
Madhya Pradesh,2020-Q4,Peer-to-peer payments,67972167
Madhya Pradesh,2021-Q1,Merchant payments,84812245
Madhya Pradesh,2021-Q2,Peer-to-peer payments,99367521
Maharashtra,2018-Q1,Recharge & bill payments,9670237
Maharashtra,2018-Q2,Recharge & bill payments,12384216
Maharashtra,2018-Q3,Recharge & bill payments,14371791
Maharashtra,2018-Q4,Peer-to-peer payments,20824667
Maharashtra,2019-Q1,Peer-to-peer payments,37360716
Maharashtra,2019-Q2,Peer-to-peer payments,42546317
Maharashtra,2019-Q3,Peer-to-peer payments,57991699
Maharashtra,2019-Q4,Merchant payments,80127804
Maharashtra,2020-Q1,Merchant payments,100337738
Maharashtra,2020-Q2,Peer-to-peer payments,74295930
Maharashtra,2020-Q3,Peer-to-peer payments,108436214
Maharashtra,2020-Q4,Merchant payments,189845640
Maharashtra,2021-Q1,Merchant payments,253043309
Maharashtra,2021-Q2,Merchant payments,247194293
Manipur,2018-Q1,Recharge & bill payments,50212
Manipur,2018-Q2,Recharge & bill payments,77991
Manipur,2018-Q3,Peer-to-peer payments,95204
Manipur,2018-Q4,Recharge & bill payments,113507
Manipur,2019-Q1,Peer-to-peer payments,127067
Manipur,2019-Q2,Peer-to-peer payments,120153
Manipur,2019-Q3,Recharge & bill payments,180057
Manipur,2019-Q4,Recharge & bill payments,212136
Manipur,2020-Q1,Peer-to-peer payments,451733
Manipur,2020-Q2,Peer-to-peer payments,533206
Manipur,2020-Q3,Peer-to-peer payments,774786
Manipur,2020-Q4,Peer-to-peer payments,892853
Manipur,2021-Q1,Peer-to-peer payments,1117829
Manipur,2021-Q2,Peer-to-peer payments,1372821
Meghalaya,2018-Q1,Recharge & bill payments,31857
Meghalaya,2018-Q2,Recharge & bill payments,42625
Meghalaya,2018-Q3,Recharge & bill payments,60625
Meghalaya,2018-Q4,Recharge & bill payments,82962
Meghalaya,2019-Q1,Recharge & bill payments,98817
Meghalaya,2019-Q2,Recharge & bill payments,108812
Meghalaya,2019-Q3,Recharge & bill payments,155949
Meghalaya,2019-Q4,Recharge & bill payments,175084
Meghalaya,2020-Q1,Recharge & bill payments,226214
Meghalaya,2020-Q2,Recharge & bill payments,382662
Meghalaya,2020-Q3,Recharge & bill payments,342484
Meghalaya,2020-Q4,Recharge & bill payments,350006
Meghalaya,2021-Q1,Peer-to-peer payments,326993
Meghalaya,2021-Q2,Recharge & bill payments,389959
